eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2019:Stn49:trawl:sample2163,IYS:GoA2019:Stn49:trawl:sample2163:occ,IYS:GoA2019:Stn49:trawl:sample2163:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2163,IYS:GoA2019:Stn49:trawl:sample2163:occ,IYS:GoA2019:Stn49:trawl:sample2163:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,73,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2163,IYS:GoA2019:Stn49:trawl:sample2163:occ,IYS:GoA2019:Stn49:trawl:sample2163:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2164,IYS:GoA2019:Stn49:trawl:sample2164:occ,IYS:GoA2019:Stn49:trawl:sample2164:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,http://vocab.nerc.ac.uk/collection/S11/current/S1116/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2164,IYS:GoA2019:Stn49:trawl:sample2164:occ,IYS:GoA2019:Stn49:trawl:sample2164:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,74,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2164,IYS:GoA2019:Stn49:trawl:sample2164:occ,IYS:GoA2019:Stn49:trawl:sample2164:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2165,IYS:GoA2019:Stn49:trawl:sample2165:occ,IYS:GoA2019:Stn49:trawl:sample2165:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2165,IYS:GoA2019:Stn49:trawl:sample2165:occ,IYS:GoA2019:Stn49:trawl:sample2165:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,75,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2165,IYS:GoA2019:Stn49:trawl:sample2165:occ,IYS:GoA2019:Stn49:trawl:sample2165:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2166,IYS:GoA2019:Stn49:trawl:sample2166:occ,IYS:GoA2019:Stn49:trawl:sample2166:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2166,IYS:GoA2019:Stn49:trawl:sample2166:occ,IYS:GoA2019:Stn49:trawl:sample2166:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,76,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2166,IYS:GoA2019:Stn49:trawl:sample2166:occ,IYS:GoA2019:Stn49:trawl:sample2166:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2167,IYS:GoA2019:Stn49:trawl:sample2167:occ,IYS:GoA2019:Stn49:trawl:sample2167:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2167,IYS:GoA2019:Stn49:trawl:sample2167:occ,IYS:GoA2019:Stn49:trawl:sample2167:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,77,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2167,IYS:GoA2019:Stn49:trawl:sample2167:occ,IYS:GoA2019:Stn49:trawl:sample2167:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2168,IYS:GoA2019:Stn49:trawl:sample2168:occ,IYS:GoA2019:Stn49:trawl:sample2168:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2168,IYS:GoA2019:Stn49:trawl:sample2168:occ,IYS:GoA2019:Stn49:trawl:sample2168:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,78,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2168,IYS:GoA2019:Stn49:trawl:sample2168:occ,IYS:GoA2019:Stn49:trawl:sample2168:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2169,IYS:GoA2019:Stn49:trawl:sample2169:occ,IYS:GoA2019:Stn49:trawl:sample2169:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2169,IYS:GoA2019:Stn49:trawl:sample2169:occ,IYS:GoA2019:Stn49:trawl:sample2169:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,79,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2169,IYS:GoA2019:Stn49:trawl:sample2169:occ,IYS:GoA2019:Stn49:trawl:sample2169:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2170,IYS:GoA2019:Stn49:trawl:sample2170:occ,IYS:GoA2019:Stn49:trawl:sample2170:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,http://vocab.nerc.ac.uk/collection/S11/current/S1116/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2170,IYS:GoA2019:Stn49:trawl:sample2170:occ,IYS:GoA2019:Stn49:trawl:sample2170:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,80,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2170,IYS:GoA2019:Stn49:trawl:sample2170:occ,IYS:GoA2019:Stn49:trawl:sample2170:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2171,IYS:GoA2019:Stn49:trawl:sample2171:occ,IYS:GoA2019:Stn49:trawl:sample2171:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2171,IYS:GoA2019:Stn49:trawl:sample2171:occ,IYS:GoA2019:Stn49:trawl:sample2171:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,83,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2171,IYS:GoA2019:Stn49:trawl:sample2171:occ,IYS:GoA2019:Stn49:trawl:sample2171:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2172,IYS:GoA2019:Stn49:trawl:sample2172:occ,IYS:GoA2019:Stn49:trawl:sample2172:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2172,IYS:GoA2019:Stn49:trawl:sample2172:occ,IYS:GoA2019:Stn49:trawl:sample2172:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,84,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2172,IYS:GoA2019:Stn49:trawl:sample2172:occ,IYS:GoA2019:Stn49:trawl:sample2172:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2173,IYS:GoA2019:Stn49:trawl:sample2173:occ,IYS:GoA2019:Stn49:trawl:sample2173:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,http://vocab.nerc.ac.uk/collection/S11/current/S1116/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2173,IYS:GoA2019:Stn49:trawl:sample2173:occ,IYS:GoA2019:Stn49:trawl:sample2173:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,69,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2173,IYS:GoA2019:Stn49:trawl:sample2173:occ,IYS:GoA2019:Stn49:trawl:sample2173:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2174,IYS:GoA2019:Stn49:trawl:sample2174:occ,IYS:GoA2019:Stn49:trawl:sample2174:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2174,IYS:GoA2019:Stn49:trawl:sample2174:occ,IYS:GoA2019:Stn49:trawl:sample2174:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,72,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2174,IYS:GoA2019:Stn49:trawl:sample2174:occ,IYS:GoA2019:Stn49:trawl:sample2174:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn50:trawl:sample2175,IYS:GoA2019:Stn50:trawl:sample2175:occ,IYS:GoA2019:Stn50:trawl:sample2175:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn50:trawl:sample2175,IYS:GoA2019:Stn50:trawl:sample2175:occ,IYS:GoA2019:Stn50:trawl:sample2175:occ:max_length,maximum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,90,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn50:trawl:sample2175,IYS:GoA2019:Stn50:trawl:sample2175:occ,IYS:GoA2019:Stn50:trawl:sample2175:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,80,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
